22:56:17.258 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
22:56:17.280 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2bdd8394, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5f9edf14, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@68746f22, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f01783a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@68878f6d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@41488b16]
22:56:17.361 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-test.xml]
22:56:17.465 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-h2.xml]
22:56:17.520 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-transaction.xml]
22:56:17.539 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mybatis.xml]
22:56:17.719 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@a1f72f5: startup date [Mon Jan 08 22:56:17 CST 2018]; root of context hierarchy
22:56:18.162 [main] INFO  org.springframework.jdbc.datasource.init.ScriptUtils - Executing SQL script from class path resource [init-test.sql]
22:56:18.182 [main] INFO  org.springframework.jdbc.datasource.init.ScriptUtils - Executed SQL script from class path resource [init-test.sql] in 20 ms.
22:56:18.635 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
22:56:18.636 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1f651cd8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7d0332e1, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@7a356a0d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@c827db, org.springframework.test.context.transaction.TransactionalTestExecutionListener@377c68c6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@538cd0f2]
22:56:18.731 [Thread-2] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@a1f72f5: startup date [Mon Jan 08 22:56:17 CST 2018]; root of context hierarchy
22:59:41.788 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
22:59:41.829 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@68746f22, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2f01783a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@68878f6d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@41488b16, org.springframework.test.context.transaction.TransactionalTestExecutionListener@a8ef162, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2eea88a1]
22:59:41.893 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-test.xml]
22:59:41.985 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-h2.xml]
22:59:42.026 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-transaction.xml]
22:59:42.047 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mybatis.xml]
22:59:42.203 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@2dc9b0f5: startup date [Mon Jan 08 22:59:42 CST 2018]; root of context hierarchy
22:59:42.697 [main] INFO  org.springframework.jdbc.datasource.init.ScriptUtils - Executing SQL script from class path resource [init-test.sql]
22:59:42.718 [main] INFO  org.springframework.jdbc.datasource.init.ScriptUtils - Executed SQL script from class path resource [init-test.sql] in 21 ms.
